code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
871,MOQUICO (RA-BANGU),AVN SARG ISANOR DE CAMPOS - DEODORO - COMPLEXO VILA EUGENIA,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,
872,TRAVESSA MIGUEL RANGEL,RUA ENGENHEIRO LEAL - ENGENHEIRO LEAL,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
873,COTIA VELHA,"AV MENEZES CORTES KM 2,5 - LINS - COMPLEXO DO LINS",2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
874,COMUNIDADE SAO JOAO DOS OPERARIOS,AVN DOUTOR AGENOR DE ALMEIDA LOYOLA FREGUESIA - COMPLEXO RUA BUDAPESTE,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,
875,PANTANAL,RUA EDGARD WERNECK - FREGUESIA - COMPLEXO INACIO DO AMARAL ,2,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.51
876,"RUA MOISES, N 87","RUA MOISES, N 87 CDD",2,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.536
877,ESTRADA DA PEDRA I,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.51
878,ESTRADA DA PEDRA II,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.391
879,ESTRADA DA PEDRA III,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,
880,ESTRADA DA PEDRA IV,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.47
881,ESTRADA DA PEDRA V,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.539
882,ESTRADA DA PEDRA VI,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.484
883,AVENIDA GASPAR LEMOS (PROXIMA AO N 11),AVN GASPAR DE LEMOS 11 - GUARATIBA,2,MILICIA,,MILICIA,UNARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,
884,MORRO DA FOICE,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,
886,TRAVESSA NATAL,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.324
887,ESTRADA DA PEDRA VIII,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.537
890,PINGO DAGUA,ESTR DA PEDRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.515
891,AVENIDA SILVERIO (RUA PALHANO),ETR MAGARCA - GUARATIBA - COMPLEXO ESTRADA DO MAGARÇA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.487
