code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
973,"ESTRADA DO PONTAL, N 3561",ESTR DO PONTAL 3561 - RECREIO DOS BANDEIRANTES,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.469
974,AVENIDA GUIOMAR NOVAES,AVN GUIOMAR NOVAES - RECREIO DOS BANDEIRANTRES,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.446
975,"AVENIDA DAS AMERICAS, N 19070",,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,
976,MATINHA (RA-ROCINHA),AV NIEMEYER - ROCINHA,1,ADA,,ADA,ARMED,ADA,ADA,ADA,CV,CV,0.537
977,RUA ANA NERY/ RUA CADETE POLONIA,,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
978,NOVA PALESTINA,AV CESÁRIO DE MELO - SANTA CRUZ - COMPLEXO BAIRRO CANAÃ,2,MILICIA,,MILICIA,ARMED,ADA,ADA,ADA,ADA,ADA,0.35
979,COMUNIDADE JARDIM DA VITORIA,RIO -SANTOS - SANTA CRUZ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.407
980,RIO-SANTOS,RIO SANTOS - SANTA CRUZ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.419
981,JARDIM COQUEIRAL,ESTR ATERRADO DO LEME - SANTA CRUZ - COMPLEXO SAQUAÇU,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,CV,CV,0.395
982,CONJUNTO ANTARES (RUA CYBBER PORTO DE MENDONCA),RUA PISTOIA - SANTA CRUZ - COMPLEXO DO PANTANAL,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.438
984,BAIRRO CANAA,ESTRADA DA PEDRA - SANTA CRUZ - COMPLEXO BAIRRO CANAÃ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.51
985,ESTRADA JOAQUIM MAMEDE,ESTR DOM JOAQUIM MAMEDE - SANTA TERESA,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,
986,VILA SANTA BARBARA,RUA ALMIRANTE ALEXANDRINO - SANTA TERESA,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.551
987,ESTRADA DA POSSE,ESTR DA POSSE - SANTÍSSIMO,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,
988,RUA ANES DIAS,RUA ANES DIAS - SANTÍSSIMO - COMPLEXO FAZENDA COQUEIRO,2,TCP,,TCP,ARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,
989,RUA PAULO MARTINS (PROXIMA AO LT 12-QD B),RUA PAULO MARTINS (PROXIMA AO LT 12-QD B) - SANTISSIMO,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,
990,ESTRADA DO LAMEIRAO,ESTR DO LAMEIRÃO - SANTÍSSIMO,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,0.442
991,VILA MISERIA,RUA SINIMBU 710 - SÃO CRISTOVÃO,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.533
992,RUA BARTOLOMEU GUSMAO,RUA BARTOLOMEU DE GUSMÃO - SÃO CRISTOVÃO - COMPLEXO DA MANGUEIRA,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.539
993,"RUA SAO FRANCISCO XAVIER, N 749","RUA SAO FRANCISCO XAVIER, N 749 - SÃO FRANCISCO XAVIER",,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
994,ESTRADA DUARTE NUNES (EM FRENTE AO N 97),ESTR DUARTE NUNES - SENADOR VASCONCELOS - COMPLEXO MARCONDES DA LUZ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,0.527
995,SERRA VERDE,AV SANTA CRUZ - SENADOR VASCONCEWLOS ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,0.521
996,CARUBA,RUA COMANDANTE RUBENS SABÁ - CAMPO GRANDE,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,0.444
997,"AVENIDA JOAQUIM MAGALHAES, N 499",AVN SANTA CRUZ - SENADOR VASCONCELOS - COMPLEXO MARCONDES DA LUZ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,CV,CV,0.466
998,MARCONDES DA LUZ,AV SANTA CRUZ - SENADOR VASCONCEWLOS - COMPLEXO MARCONDES DA LUZ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,0.53
999,RUA DA VALA DO MAJOR FREITAS,ESTR PIAI - SEPETIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,CV,CV,CV,0.52
1000,"RUA DA VALA DO MAJOR FREITAS, N 329",ESTR PIAI - SEPETIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,CV,CV,CV,0.466
1001,MORRO DA FAXINA,ESTR SEPETIBA - SEPETIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,NEUTRAL,NEUTRAL,NEUTRAL,0.543
1002,MINA,ESTR PIAÍ - SEPETIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.554
1003,"ESTRADA DO BOIUNA, N 2354",ESTR DO BOIUNA 2354 - TAQUARA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.482
1004,"ESTRADA DO BOIUNA , N 1118",ESTR DO BOIUNA 1118 - TAQUARA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.496
1005,COMUNIDADE CORUMAU,ESTR CORUMAU - TAQUARA - COMPLEXO SHANGRILÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.547
1006,ESTRADA MERINGUAVA,ESTR MERINGUAVA - TAQUARA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.411
1007,LOTE 1000,ESTR BOIUNA 1000 - TAQUARA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.546
1008,BECO DA CORUJA,RUA PINHEIRO DA CUNHA 260 - TIJUCA,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,0.463
1009,ROCHA MIRANDA,RUA ROCHA MIRANDA - TIJUCA,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
1010,COMUNIDADE NOVO LAR,AV DAS AMÉRICAS - VARGEM PEQUENA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.437
1011,"RUA ZENITILDES ALVES MEIRA, N L33","RUA ZENITILDES ALVES MEIRA, N L33 -- VARGEM GRANDE",2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.274
1012,COMUNIDADE LUZ DIVINA,RUA JORN LUIZ EDUARDO LOBO - VARGEM PEQUENA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.282
1013,"AVENIDA AUTOMOVEL CLUBE, N 5002",AVN AUTOMOVEL CLUBE 5002 - VILA KOSMOS,2,CV,N,CV,ARMED,CV,CV,CV,CV,CV,
1014,"RUA JANGADA, L21FDS","RUA JANGADA, L21FDS VILA KOSMOS",2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
1015,"RUA JANGADA, N 230","RUA JANGADA, N 230 VILA KOSMOS",2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
1016,VILA PRESIDENCIAL QUIRIRIM,RUA QUIRIRIM - VILA VALQUEIRE - COMPLEXO LUIZ BELTRÃO,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.592
1017,"LADEIRA DOS TABAJARAS, N 256",LADEIRA DOS TABAJARAS 256 - COPACABANA - COMPLEXO MORRO DOS CABRITOS,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,
1018,CAMINHO DO OUTEIRO,CAMINHO DO OUTEIRO - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,CV,0.409
1020,AVENIDA 5-TIJOLINHO,ETR SEPETIBA - SEPETIBA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,
1021,MARIA LOROZA,ESTR SEPETIBA - SANTA CRUZ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,CV,CV,0.409
1022,RUA VIDEO,RUA VIDEO - SANTA CRUZ - COMPLEXO PANTANAL,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.389
1024,COMUNIDADE RENASCER,RUA PROJETADA C - SANTA CRUZ - COMPLEXO SAQUAÇU,2,MILICIA,,MILICIA,ARMED,,,,,,0.408
1025,MANGUARIBA III,RUA 11 - PACIÊNCIA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,CV,CV,0.45
1026,A. M. MARIO LARRUBIA,RUA MARIO LARRUBIA - GUARATIBA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.373
1027,JARDIM GRAMADO,RUA AGAI - PACIÊNCIA - COMPLEXO LINHA DE AUSTIN,2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.386
1028,COMUNIDADE FLAMA,RUA AGAI - PACIENCIA - COMPLEXO LINHA DE AUSTIN,2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.486
1029,"RUA POERABA, LOTES 39 E 40","RUA POERABA, LOTES 39 E 40 - INHOAIBA",2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.493
1030,TRAVESSA POERABA,RUA POERABA - INHOAIBA,2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.527
1031,RUA DO SOL,RUA DO SOL 51 - CAMPO GRANDE - COMPLEXO JARDIM MONTEIRO,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.419
1032,TRAVESSA DOIS IRMAOS,ESTR DA CACHAMORRA - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,
1033,"ESTRADA DO TINGUI, N 2.370",ESTR DO TINGUI 2370 - CAMPO GRANDE,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,CV,CV,
1034,DA CURVA,ESTR DOS BANDEIRANTES 22308 - VARGEM GRANDE,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.449
1035,"RUA PAULO ROBERTO MATHEUS, LOTE 7","RUA PAULO ROBERTO MATHEUS, LOTE 7 - VARGEM PEQUENA",2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.414
1036,COMUNIDADE VISTA DA PEDRA,ESTR DOS BANDEIRANTES 12307 - VARGEM PEQUENA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.617
1038,A. M. AMIGOS DOS TEIXEIRAS,ETR TEIXEIRAS 1015 - REALENGO,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,
1039,"ESTRADA DO CATONHO, N 14",ESTR DO CATONHO 14 - JARDIM SULACAP,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,0.578
1041,COMUNIDADE SITIO DA AMIZADE,ESTR DO GABINAL - FREGUESIA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.258
1042,COMUNIDADE DO GUACHE,ESTR DO GABINAL 313 - FREGUESIA - JACAREPAGUÁ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.236
1043,"ESTRADA DE JACAREPAGUA, N 6.590",ESTR DE JACAREPAGUÁ 6590 - ANIL,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,
1044,VILA TABOINHA,PREFEITURA  REMOVENDO  ESTR DOS BANDEIRANTES 29000- VARGEM GRANDE,2,NEUTRAL,,NEUTRAL,NEUTRAL,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.318
1047,A. M. SAO SEBASTIAO,Travessa Capitão Menezes 79 - COMPLEXO BARÃO,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,
1048,"RUA JAU, N 25","RUA JAU, N 25 - LINS",2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
1049,COMUNIDADE DO PEDROSA,RUA JOÃO MENA BARRETO - 623 - DEL CASTILHO - COMPLEXO PQ UNIÃO D EDEL CASTILHO,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.543
1050,COMUNIDADE VILA ANGELA,RUA DOIS DE MAIO 355 - ENGENHO NOVO - COMPLEXO DOIS DE MAIO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
1051,COMUNIDADE VILA DA PAZ,RUA SANTOS MELO 73 - SÃO FRANCISCO XAVIER,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
1052,COMUNIDADE VILA DO MEXICANO,RUA SÃO PEDRO - CAJU,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.536
1053,COMUNIDADE DE SAO DIOGO,TRAVESSA DÃO DIOGO - SANTO CRISTO,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.527
1054,"RUA ALVARO RAMOS, N 499",RUA ALVARO RAMOS 499 - BOTAFOGO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
1055,"RUA ALVARO RAMOS, N 535",RUA ALVARO RAMOS 535 - BOTAFOGO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
1056,COMUNIDADE DA FAVELINHA,ESTR DOS COQUEIROS 665 - SENADOR CAMARA,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,0.55
1057,VILA PADRE ANGELO,RUA SOUZA BARROS 394 - ENGENHO NOVO - COMPLEXO DOIS DE MAIO,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
1066,VILA ESPERANCA,AV BRASIL 17420 - IRAJÁ - COMPLEXO ACARI,2,TCP,,TCP,ARMED,TCP,TCP,TCP,TCP,TCP,0.491
